pred-AvgCO2,pred-EUI
1369,83
1372,84
1393,85
1440,88
1388,85
1282,78
1274,77
1085,65
1358,83
1361,84
1382,84
1432,88
1379,84
1278,77
1083,65
1441,89
1390,85
1280,78
1115,68
1089,66
1054,64
1369,83
1372,84
1243,75
1298,79
1244,75
1024,62
1163,70
1070,64
1221,74
1220,74
1189,71
1054,63
1032,62
1163,70
1080,65
1363,83
1384,84
1226,74
1120,67
1090,66
1025,62
1361,81
1364,82
1384,82
1430,85
1382,82
1280,76
1272,75
1095,63
1351,80
1353,81
1374,81
1372,82
1276,75
1324,78
1093,63
1433,86
1382,83
1277,76
1123,66
1099,64
1065,62
1056,61
1364,82
1228,72
1128,66
1382,82
1174,69
1203,70
1050,61
1220,72
1038,60
1240,72
1185,69
1174,69
1228,72
1056,61
1296,77
1242,74
1170,69
1091,63
1060,62
1037,60
1396,84
1393,84
1415,84
1464,88
1419,85
1320,79
1309,78
1136,66
1385,83
1382,83
1404,84
1409,84
1315,78
1361,81
1135,66
1462,89
1414,85
1313,79
1161,69
1139,67
1106,65
1257,74
1205,72
1240,73
1132,66
1419,85
1320,79
1327,79
1129,67
1281,76
1099,65
1273,75
1281,76
1171,69
1265,75
1098,64
1266,75
1276,76
1319,79
1162,69
1139,67
1132,66
1458,89
1458,90
1479,90
1529,94
1479,90
1375,83
1365,83
1182,71
1446,88
1447,89
1468,89
1469,90
1370,83
1419,86
1180,71
1530,94
1421,87
1371,84
1211,73
1186,72
1151,69
1261,76
1330,81
1156,69
1317,80
1479,90
1371,84
1385,84
1192,72
1386,84
1313,80
1335,80
1333,81
1262,76
1253,75
1140,68
1526,94
1473,90
1318,79
1211,73
1143,69
1120,67
1406,85
1353,82
1279,77
1193,71
1166,69
1144,68
1282,76
1241,73
1336,79
1382,82
1162,68
1108,65
1299,79
1265,76
1190,71
1074,65
1071,64
1048,62
1319,80
1265,76
1189,71
1096,65
1070,64
1046,62
1316,77
1263,74
1191,69
1217,72
1276,76
1077,63
1384,85
1268,77
1120,67
